pair_id,image_id_a,image_id_b,constraint_type,support_count,sources,review_batches,notes,had_conflict
15209_15230,15209,15230,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=273|candidate_chip=236|rank=2 || query_chip=236|candidate_chip=273|rank=1,False
15209_15250,15209,15250,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=236|candidate_chip=247|rank=3,False
15209_15300,15209,15300,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=236|candidate_chip=22|rank=2,False
15209_15312,15209,15312,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=236|candidate_chip=104|rank=9,False
15209_15319,15209,15319,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=236|candidate_chip=257|rank=6,False
15209_15336,15209,15336,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=236|candidate_chip=171|rank=10,False
15209_15338,15209,15338,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=236|candidate_chip=276|rank=4,False
15209_15364,15209,15364,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=236|candidate_chip=184|rank=8,False
15209_15394,15209,15394,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=236|candidate_chip=71|rank=5,False
15209_15398,15209,15398,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=139|candidate_chip=236|rank=1,False
15209_15405,15209,15405,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=150|candidate_chip=236|rank=2,False
15209_15460,15209,15460,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=236|candidate_chip=127|rank=7,False
15210_15225,15210,15225,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=209|candidate_chip=163|rank=5,False
15210_15293,15210,15293,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=209|candidate_chip=70|rank=3,False
15210_15352,15210,15352,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=209|candidate_chip=19|rank=6,False
15210_15356,15210,15356,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=209|candidate_chip=29|rank=4,False
15210_15375,15210,15375,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=209|candidate_chip=262|rank=8,False
